backend,workload,size,ops,ops_per_sec
aws,attachments,1048576,1000,6.0
aws,attachments,4096,1000,8.6
aws,attachments,65536,1000,8.1
aws,attachments,8388608,200,1.7
aws,attachments-public,1048576,1000,3.2
aws,attachments-public,4096,1000,4.7
aws,attachments-public,65536,1000,4.5
aws,attachments-public,8388608,200,0.8
aws,lock,1048576,1000,3.9
aws,lock,4096,1000,8.7
aws,lock,65536,1000,7.0
aws,lock,8388608,200,1.0
aws,public-read,,1000,51.8
aws,query-index,,200,0.8
aws,query-scan,,200,0.5
aws,xa-commit,,200,1.3
aws,xa-rollback,,200,1.3
azure,attachments,1048576,1000,12.3
azure,attachments,4096,1000,22.2
azure,attachments,65536,1000,23.2
azure,attachments,8388608,200,2.4
azure,attachments-public,1048576,1000,5.9
azure,attachments-public,4096,1000,13.4
azure,attachments-public,65536,1000,12.8
azure,attachments-public,8388608,200,1.3
azure,lock,1048576,1000,6.8
azure,lock,4096,1000,24.1
azure,lock,65536,1000,18.4
azure,lock,8388608,200,1.3
azure,public-read,,1000,216.3
azure,query-index,,200,2.9
azure,query-scan,,200,0.6
azure,xa-commit,,200,1.5
azure,xa-rollback,,200,2.0
disk,attachments,1048576,1000,212.3
disk,attachments,4096,1000,1182.0
disk,attachments,65536,1000,484.0
disk,attachments,8388608,1000,30.0
disk,attachments-public,1048576,1000,113.6
disk,attachments-public,4096,1000,701.5
disk,attachments-public,65536,1000,261.9
disk,attachments-public,8388608,1000,12.0
disk,lock,1048576,1000,111.2
disk,lock,4096,1000,1136.0
disk,lock,65536,1000,795.3
disk,lock,8388608,1000,18.1
disk,public-read,,1000,23430.4
disk,query-index,,1000,6708.6
disk,query-scan,,1000,533.2
disk,xa-commit,,1000,3.7
disk,xa-rollback,,1000,3.3
mem,attachments,1048576,1000,248.6
mem,attachments,4096,1000,1385.1
mem,attachments,65536,1000,1087.4
mem,attachments,8388608,1000,51.7
mem,attachments-public,1048576,1000,167.6
mem,attachments-public,4096,1000,941.0
mem,attachments-public,65536,1000,720.6
mem,attachments-public,8388608,1000,17.3
mem,lock,1048576,1000,191.8
mem,lock,4096,1000,2654.8
mem,lock,65536,1000,1421.8
mem,lock,8388608,1000,18.7
mem,public-read,,1000,21961.7
mem,query-index,,1000,4158.1
mem,query-scan,,1000,631.7
mem,xa-commit,,1000,3.7
mem,xa-rollback,,1000,3.7
minio,attachments,1048576,1000,34.3
minio,attachments,4096,1000,100.0
minio,attachments,65536,1000,68.6
minio,attachments,8388608,1000,9.1
minio,attachments-public,1048576,1000,18.9
minio,attachments-public,4096,1000,49.3
minio,attachments-public,65536,1000,52.3
minio,attachments-public,8388608,1000,4.3
minio,lock,1048576,1000,32.8
minio,lock,4096,1000,207.4
minio,lock,65536,1000,155.4
minio,lock,8388608,1000,7.7
minio,public-read,,1000,1822.6
minio,query-index,,1000,44.5
minio,query-scan,,1000,5.1
minio,xa-commit,,1000,3.3
minio,xa-rollback,,1000,3.7
