File: lockd
Build ID: e4d61a645a1f2bc729cb1865a9a8fa7f759a8ceb
Type: cpu
Time: 2026-01-28 11:41:28 CET
Duration: 5.12s, Total samples = 6.46s (126.15%)
Showing nodes accounting for 4.37s, 67.65% of 6.46s total
Dropped 535 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
     0.92s 14.24% 14.24%      0.92s 14.24%  internal/runtime/syscall.Syscall6
     0.32s  4.95% 19.20%      0.32s  4.95%  runtime.futex
     0.19s  2.94% 22.14%      0.19s  2.94%  runtime.(*gcBits).bitp (inline)
     0.18s  2.79% 24.92%      0.18s  2.79%  runtime.memmove
     0.17s  2.63% 27.55%      0.17s  2.63%  runtime.nextFreeFast (inline)
     0.12s  1.86% 29.41%      0.12s  1.86%  runtime.(*mspan).base (inline)
     0.12s  1.86% 31.27%      0.69s 10.68%  runtime.scanobject
     0.12s  1.86% 33.13%      0.12s  1.86%  runtime.usleep
     0.10s  1.55% 34.67%      0.12s  1.86%  runtime.findObject
     0.09s  1.39% 36.07%      0.09s  1.39%  runtime.memclrNoHeapPointers
     0.09s  1.39% 37.46%      0.24s  3.72%  runtime.selectgo
     0.08s  1.24% 38.70%      0.08s  1.24%  runtime.procyield
     0.08s  1.24% 39.94%      0.27s  4.18%  runtime.stealWork
     0.07s  1.08% 41.02%      0.07s  1.08%  runtime.step
     0.06s  0.93% 41.95%      0.33s  5.11%  runtime.newobject
     0.06s  0.93% 42.88%      0.13s  2.01%  runtime.pcvalue
     0.05s  0.77% 43.65%      0.05s  0.77%  context.value
     0.05s  0.77% 44.43%      0.05s  0.77%  runtime.(*mspan).writeHeapBitsSmall
     0.05s  0.77% 45.20%      0.09s  1.39%  runtime.lock2
     0.04s  0.62% 45.82%      0.04s  0.62%  indexbytebody
     0.04s  0.62% 46.44%      0.07s  1.08%  internal/sync.(*Mutex).Unlock (inline)
     0.04s  0.62% 47.06%      0.04s  0.62%  memeqbody
     0.04s  0.62% 47.68%      0.62s  9.60%  runtime.mallocgc
     0.04s  0.62% 48.30%      0.04s  0.62%  runtime.nanotime (inline)
     0.04s  0.62% 48.92%      0.16s  2.48%  runtime.runqgrab
     0.04s  0.62% 49.54%      0.04s  0.62%  runtime.unlock2
     0.04s  0.62% 50.15%      0.07s  1.08%  sync.(*Pool).Get
     0.03s  0.46% 50.62%      0.09s  1.39%  context.(*valueCtx).Value
     0.03s  0.46% 51.08%      0.08s  1.24%  internal/sync.(*Mutex).Lock (inline)
     0.03s  0.46% 51.55%      0.08s  1.24%  pkt.systems/lockd/internal/storage.CommitGroupFromContext (inline)
     0.03s  0.46% 52.01%      0.04s  0.62%  pkt.systems/pslog.appendEscapedStringContent
     0.03s  0.46% 52.48%      0.11s  1.70%  runtime.(*stkframe).getStackMap
     0.03s  0.46% 52.94%      0.04s  0.62%  runtime.chanrecv
     0.03s  0.46% 53.41%      0.72s 11.15%  runtime.findRunnable
     0.03s  0.46% 53.87%      0.75s 11.61%  runtime.gcDrain
     0.03s  0.46% 54.33%      0.38s  5.88%  runtime.greyobject
     0.03s  0.46% 54.80%      0.05s  0.77%  runtime.mallocgcTiny
     0.02s  0.31% 55.11%      0.04s  0.62%  crypto/tls.(*halfConn).decrypt
     0.02s  0.31% 55.42%      0.05s  0.77%  encoding/json.(*Decoder).readValue
     0.02s  0.31% 55.73%      0.10s  1.55%  encoding/json.(*decodeState).object
     0.02s  0.31% 56.04%      0.04s  0.62%  encoding/json.checkValid
     0.02s  0.31% 56.35%      0.05s  0.77%  golang.org/x/net/http2.(*serverConn).writeDataFromHandler
     0.02s  0.31% 56.66%      0.12s  1.86%  io.(*LimitedReader).Read
     0.02s  0.31% 56.97%      0.21s  3.25%  pkt.systems/lockd/internal/core.(*Service).maybeThrottleLock
     0.02s  0.31% 57.28%      0.09s  1.39%  pkt.systems/lockd/internal/jsonutil.CompactWriter
     0.02s  0.31% 57.59%      0.19s  2.94%  pkt.systems/lockd/internal/storage/disk.(*Store).ReadState
     0.02s  0.31% 57.89%      0.38s  5.88%  pkt.systems/lockd/internal/storage/disk.(*Store).StoreMeta
     0.02s  0.31% 58.20%      0.06s  0.93%  runtime.(*mheap).alloc
     0.02s  0.31% 58.51%      0.08s  1.24%  runtime.(*unwinder).resolveInternal
     0.02s  0.31% 58.82%      0.11s  1.70%  runtime.chansend
     0.02s  0.31% 59.13%      0.23s  3.56%  runtime.mallocgcSmallNoscan
     0.02s  0.31% 59.44%      0.29s  4.49%  runtime.mallocgcSmallScanNoHeader
     0.02s  0.31% 59.75%      0.16s  2.48%  runtime.notewakeup
     0.02s  0.31% 60.06%      0.81s 12.54%  runtime.schedule
     0.02s  0.31% 60.37%      0.07s  1.08%  runtime.sellock
     0.02s  0.31% 60.68%      0.04s  0.62%  strings.ToLower
     0.01s  0.15% 60.84%      0.04s  0.62%  crypto/rand.(*reader).Read
     0.01s  0.15% 60.99%      0.22s  3.41%  crypto/tls.(*Conn).readRecordOrCCS
     0.01s  0.15% 61.15%      0.16s  2.48%  encoding/json.(*Decoder).Decode
     0.01s  0.15% 61.30%      0.16s  2.48%  go.opentelemetry.io/otel/attribute.newSet
     0.01s  0.15% 61.46%      0.05s  0.77%  go.opentelemetry.io/otel/sdk/metric.(*int64Inst).Add
     0.01s  0.15% 61.61%      0.05s  0.77%  golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.01s  0.15% 61.76%      0.15s  2.32%  golang.org/x/net/http2.(*responseWriterState).writeChunk
     0.01s  0.15% 61.92%      0.05s  0.77%  golang.org/x/net/http2.(*serverConn).newStream
     0.01s  0.15% 62.07%      0.18s  2.79%  golang.org/x/net/http2.(*serverConn).processHeaders
     0.01s  0.15% 62.23%      0.07s  1.08%  golang.org/x/net/http2.(*serverConn).startFrameWrite
     0.01s  0.15% 62.38%      0.10s  1.55%  golang.org/x/net/http2.(*serverConn).wroteFrame
     0.01s  0.15% 62.54%      0.04s  0.62%  google.golang.org/protobuf/internal/impl.(*MessageInfo).marshalAppendPointer
     0.01s  0.15% 62.69%      0.26s  4.02%  internal/poll.(*FD).Write
     0.01s  0.15% 62.85%      0.11s  1.70%  internal/runtime/syscall.EpollWait
     0.01s  0.15% 63.00%      0.05s  0.77%  internal/sync.(*Mutex).lockSlow
     0.01s  0.15% 63.16%      0.36s  5.57%  io.ReadAtLeast
     0.01s  0.15% 63.31%      0.06s  0.93%  pkt.systems/kryptograf.(*service).EncryptWriter
     0.01s  0.15% 63.47%      0.06s  0.93%  pkt.systems/kryptograf/keymgmt.MintDEKWithNonceSize
     0.01s  0.15% 63.62%      0.05s  0.77%  pkt.systems/kryptograf/keymgmt.deriveDEK
     0.01s  0.15% 63.78%      0.44s  6.81%  pkt.systems/lockd/internal/core.(*Service).Acquire
     0.01s  0.15% 63.93%      0.06s  0.93%  pkt.systems/lockd/internal/core.(*Service).Acquire.func1
     0.01s  0.15% 64.09%      1.17s 18.11%  pkt.systems/lockd/internal/httpapi.(*Handler).handleRelease
     0.01s  0.15% 64.24%      2.71s 41.95%  pkt.systems/lockd/internal/httpapi.(*Handler).wrap.func1
     0.01s  0.15% 64.40%      0.19s  2.94%  pkt.systems/lockd/internal/qrf.(*Controller).Wait
     0.01s  0.15% 64.55%      0.18s  2.79%  pkt.systems/lockd/internal/qrf.(*qrfMetrics).recordDecision
     0.01s  0.15% 64.71%      0.36s  5.57%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).appendLoop
     0.01s  0.15% 64.86%      0.05s  0.77%  pkt.systems/lockd/internal/storage/disk.(*manifestState).readNewSegments
     0.01s  0.15% 65.02%      0.04s  0.62%  pkt.systems/lockd/internal/storage/disk.globalKeyMutex (inline)
     0.01s  0.15% 65.17%      1.40s 21.67%  pkt.systems/lockd/internal/storage/retry.(*backend).withRetry
     0.01s  0.15% 65.33%      0.06s  0.93%  pkt.systems/lockd/internal/uuidv7.NewString
     0.01s  0.15% 65.48%      0.16s  2.48%  runtime.(*mcache).refill
     0.01s  0.15% 65.63%      0.20s  3.10%  runtime.(*mspan).markBitsForIndex (inline)
     0.01s  0.15% 65.79%      0.04s  0.62%  runtime.(*sweepLocked).sweep
     0.01s  0.15% 65.94%      0.13s  2.01%  runtime.adjustframe
     0.01s  0.15% 66.10%      0.06s  0.93%  runtime.funcspdelta (inline)
     0.01s  0.15% 66.25%      0.19s  2.94%  runtime.futexsleep
     0.01s  0.15% 66.41%      0.11s  1.70%  runtime.growslice
     0.01s  0.15% 66.56%      0.07s  1.08%  runtime.makeslice
     0.01s  0.15% 66.72%      0.04s  0.62%  runtime.makeslicecopy
     0.01s  0.15% 66.87%      0.04s  0.62%  runtime.mapassign_faststr
     0.01s  0.15% 67.03%      0.87s 13.47%  runtime.mcall
     0.01s  0.15% 67.18%      0.28s  4.33%  runtime.newstack
     0.01s  0.15% 67.34%      0.12s  1.86%  runtime.ready
     0.01s  0.15% 67.49%      0.12s  1.86%  runtime.send
     0.01s  0.15% 67.65%      0.06s  0.93%  runtime.sweepone
