File: lockd
Build ID: f69983d50bc7ff2c5876752c21abc6eccb11141d
Type: cpu
Time: 2026-01-28 11:39:31 CET
Duration: 5.12s, Total samples = 12.81s (250.40%)
Showing nodes accounting for 8.53s, 66.59% of 12.81s total
Dropped 684 nodes (cum <= 0.06s)
      flat  flat%   sum%        cum   cum%
     1.64s 12.80% 12.80%      1.64s 12.80%  internal/runtime/syscall.Syscall6
     0.63s  4.92% 17.72%      0.63s  4.92%  runtime.futex
     0.54s  4.22% 21.94%      0.60s  4.68%  runtime.findObject
     0.39s  3.04% 24.98%      0.39s  3.04%  runtime.memclrNoHeapPointers
     0.25s  1.95% 26.93%      1.38s 10.77%  runtime.scanobject
     0.25s  1.95% 28.88%      0.25s  1.95%  runtime.usleep
     0.24s  1.87% 30.76%      0.24s  1.87%  runtime.memmove
     0.21s  1.64% 32.40%      0.21s  1.64%  runtime.(*gcBits).bitp (inline)
     0.21s  1.64% 34.04%      0.21s  1.64%  runtime.nextFreeFast (inline)
     0.20s  1.56% 35.60%      0.46s  3.59%  runtime.selectgo
     0.17s  1.33% 36.92%      0.18s  1.41%  runtime.(*mspan).writeHeapBitsSmall
     0.14s  1.09% 38.02%      0.20s  1.56%  runtime.lock2
     0.14s  1.09% 39.11%      0.61s  4.76%  runtime.stealWork
     0.13s  1.01% 40.12%      0.13s  1.01%  runtime.step
     0.12s  0.94% 41.06%      0.74s  5.78%  runtime.newobject
     0.12s  0.94% 42.00%      0.12s  0.94%  runtime.procyield
     0.10s  0.78% 42.78%      0.10s  0.78%  internal/runtime/maps.ctrlGroup.matchH2 (inline)
     0.10s  0.78% 43.56%      0.17s  1.33%  internal/sync.(*Mutex).Lock (inline)
     0.10s  0.78% 44.34%      0.10s  0.78%  runtime.(*mspan).base (inline)
     0.09s   0.7% 45.04%      0.44s  3.43%  runtime.greyobject
     0.09s   0.7% 45.75%      0.77s  6.01%  runtime.mallocgcSmallScanNoHeader
     0.08s  0.62% 46.37%      0.22s  1.72%  encoding/json.(*Decoder).readValue
     0.08s  0.62% 46.99%      0.08s  0.62%  runtime.duffcopy
     0.08s  0.62% 47.62%      0.23s  1.80%  runtime.pcvalue
     0.07s  0.55% 48.17%      0.18s  1.41%  runtime.(*unwinder).resolveInternal
     0.07s  0.55% 48.71%      0.07s  0.55%  runtime.adjustpointers
     0.06s  0.47% 49.18%      0.07s  0.55%  context.value
     0.06s  0.47% 49.65%      0.07s  0.55%  encoding/json.checkValid
     0.06s  0.47% 50.12%      0.33s  2.58%  runtime.adjustframe
     0.06s  0.47% 50.59%      0.38s  2.97%  runtime.mallocgcSmallNoscan
     0.05s  0.39% 50.98%      5.78s 45.12%  pkt.systems/lockd/internal/httpapi.(*Handler).wrap.func1
     0.05s  0.39% 51.37%      0.10s  0.78%  pkt.systems/pslog.appendEscapedStringContent
     0.05s  0.39% 51.76%      1.50s 11.71%  runtime.findRunnable
     0.05s  0.39% 52.15%      0.17s  1.33%  runtime.mapaccess1_faststr
     0.04s  0.31% 52.46%      0.44s  3.43%  bytes.(*Buffer).ReadFrom
     0.04s  0.31% 52.77%      0.08s  0.62%  crypto/internal/fips140/hmac.New[go.shape.interface { BlockSize int; Reset; Size int; Sum []uint8; Write  }]
     0.04s  0.31% 53.08%      1.67s 13.04%  pkt.systems/lockd/internal/core.(*Service).applyTxnDecisionForMeta
     0.04s  0.31% 53.40%      0.51s  3.98%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).flushAppends
     0.04s  0.31% 53.71%      0.19s  1.48%  runtime.(*stkframe).getStackMap
     0.04s  0.31% 54.02%      0.10s  0.78%  runtime.(*timers).check
     0.04s  0.31% 54.33%      1.66s 12.96%  runtime.schedule
     0.04s  0.31% 54.64%      0.08s  0.62%  strings.ToLower
     0.03s  0.23% 54.88%      0.08s  0.62%  context.(*valueCtx).Value
     0.03s  0.23% 55.11%      0.14s  1.09%  google.golang.org/protobuf/proto.MarshalOptions.marshal
     0.03s  0.23% 55.35%      0.34s  2.65%  net.(*netFD).Read
     0.03s  0.23% 55.58%      0.19s  1.48%  pkt.systems/kryptograf.(*service).ReconstructDEK
     0.03s  0.23% 55.82%      0.83s  6.48%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).appendRecord
     0.03s  0.23% 56.05%      0.11s  0.86%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).applyPendingLocked
     0.03s  0.23% 56.28%      2.70s 21.08%  pkt.systems/lockd/internal/storage/retry.(*backend).withRetry
     0.03s  0.23% 56.52%      0.26s  2.03%  runtime.(*mcache).refill
     0.03s  0.23% 56.75%      0.18s  1.41%  runtime.chansend
     0.03s  0.23% 56.99%      0.42s  3.28%  runtime.futexsleep
     0.03s  0.23% 57.22%      1.26s  9.84%  runtime.mallocgc
     0.03s  0.23% 57.46%      0.20s  1.56%  runtime.netpoll
     0.03s  0.23% 57.69%      0.15s  1.17%  sync.(*Pool).Get
     0.02s  0.16% 57.85%      0.11s  0.86%  go.opentelemetry.io/otel/sdk/metric.(*int64Inst).Add
     0.02s  0.16% 58.00%      0.51s  3.98%  golang.org/x/net/http2.(*Framer).ReadFrameHeader
     0.02s  0.16% 58.16%      0.07s  0.55%  golang.org/x/net/http2.(*dataBuffer).Write
     0.02s  0.16% 58.31%      0.91s  7.10%  golang.org/x/net/http2.(*serverConn).serve
     0.02s  0.16% 58.47%      0.07s  0.55%  golang.org/x/net/http2/hpack.(*Decoder).parseFieldIndexed
     0.02s  0.16% 58.63%      0.07s  0.55%  google.golang.org/protobuf/internal/impl.(*MessageInfo).marshalAppendPointer
     0.02s  0.16% 58.78%      0.12s  0.94%  os.(*File).ReadAt
     0.02s  0.16% 58.94%      0.08s  0.62%  pkt.systems/kryptograf/stream.(*reader).fill
     0.02s  0.16% 59.09%      0.16s  1.25%  pkt.systems/kryptograf/stream.NewEncryptWriter
     0.02s  0.16% 59.25%      0.30s  2.34%  pkt.systems/lockd/internal/httpapi.clientIdentityFromRequest
     0.02s  0.16% 59.41%      0.53s  4.14%  pkt.systems/lockd/internal/qrf.(*Controller).Decide
