File: lockd
Build ID: f69983d50bc7ff2c5876752c21abc6eccb11141d
Type: cpu
Time: 2026-01-28 09:39:00 CET
Duration: 5.11s, Total samples = 12.60s (246.47%)
Showing nodes accounting for 8.39s, 66.59% of 12.60s total
Dropped 770 nodes (cum <= 0.06s)
      flat  flat%   sum%        cum   cum%
     1.76s 13.97% 13.97%      1.76s 13.97%  internal/runtime/syscall.Syscall6
     0.45s  3.57% 17.54%      0.48s  3.81%  runtime.findObject
     0.45s  3.57% 21.11%      0.45s  3.57%  runtime.futex
     0.30s  2.38% 23.49%      0.30s  2.38%  runtime.usleep
     0.29s  2.30% 25.79%      0.29s  2.30%  runtime.memclrNoHeapPointers
     0.28s  2.22% 28.02%      0.28s  2.22%  runtime.nextFreeFast (inline)
     0.26s  2.06% 30.08%      0.26s  2.06%  runtime.procyield
     0.22s  1.75% 31.83%      0.22s  1.75%  runtime.(*mspan).base (inline)
     0.19s  1.51% 33.33%      0.19s  1.51%  runtime.(*gcBits).bitp (inline)
     0.17s  1.35% 34.68%      1.32s 10.48%  runtime.scanobject
     0.17s  1.35% 36.03%      0.48s  3.81%  runtime.selectgo
     0.14s  1.11% 37.14%      0.14s  1.11%  runtime.(*mspan).heapBitsSmallForAddr
     0.14s  1.11% 38.25%      0.14s  1.11%  runtime.memmove
     0.13s  1.03% 39.29%      0.53s  4.21%  runtime.stealWork
     0.12s  0.95% 40.24%      0.13s  1.03%  runtime.step
     0.11s  0.87% 41.11%      0.11s  0.87%  aeshashbody
     0.11s  0.87% 41.98%      0.11s  0.87%  runtime.findfunc
     0.11s  0.87% 42.86%      0.18s  1.43%  runtime.lock2
     0.10s  0.79% 43.65%      0.11s  0.87%  runtime.unlock2
     0.10s  0.79% 44.44%      0.22s  1.75%  sync.(*Pool).Get
     0.09s  0.71% 45.16%      0.35s  2.78%  internal/sync.(*Mutex).Lock (inline)
     0.08s  0.63% 45.79%      0.12s  0.95%  context.value
     0.08s  0.63% 46.43%      0.25s  1.98%  runtime.pcvalue
     0.07s  0.56% 46.98%      0.07s  0.56%  crypto/internal/fips140/aes/gcm.gcmAesDec
     0.07s  0.56% 47.54%      0.36s  2.86%  golang.org/x/net/http2.(*responseWriterState).writeChunk
     0.07s  0.56% 48.10%      0.07s  0.56%  internal/runtime/maps.ctrlGroup.matchH2 (inline)
     0.07s  0.56% 48.65%      0.28s  2.22%  runtime.adjustframe
     0.07s  0.56% 49.21%      0.07s  0.56%  runtime.duffzero
     0.06s  0.48% 49.68%      0.09s  0.71%  runtime.(*spanSet).push
     0.06s  0.48% 50.16%      1.23s  9.76%  runtime.findRunnable
     0.05s   0.4% 50.56%      0.87s  6.90%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).appendRecord
     0.05s   0.4% 50.95%      0.63s  5.00%  runtime.mallocgcSmallScanNoHeader
     0.05s   0.4% 51.35%      0.20s  1.59%  runtime.mapassign_faststr
     0.05s   0.4% 51.75%      0.14s  1.11%  runtime.sellock
     0.04s  0.32% 52.06%      0.07s  0.56%  crypto/internal/fips140/hmac.New[go.shape.interface { BlockSize int; Reset; Size int; Sum []uint8; Write  }]
     0.04s  0.32% 52.38%      0.08s  0.63%  internal/runtime/maps.(*Map).getWithoutKeySmallFastStr
     0.04s  0.32% 52.70%      0.08s  0.63%  runtime.chanrecv
     0.04s  0.32% 53.02%      0.25s  1.98%  runtime.makeslice
     0.04s  0.32% 53.33%      0.12s  0.95%  runtime.mapaccess1_faststr
     0.04s  0.32% 53.65%      0.61s  4.84%  runtime.newobject
     0.04s  0.32% 53.97%      0.34s  2.70%  runtime.runqgrab
     0.03s  0.24% 54.21%      0.61s  4.84%  crypto/tls.(*Conn).writeRecordLocked
     0.03s  0.24% 54.44%      0.35s  2.78%  crypto/tls.(*atLeastReader).Read
     0.03s  0.24% 54.68%      0.45s  3.57%  golang.org/x/net/http2.(*serverConn).processFrame
     0.03s  0.24% 54.92%      0.85s  6.75%  golang.org/x/net/http2.(*serverConn).serve
     0.03s  0.24% 55.16%      0.08s  0.63%  golang.org/x/net/http2.(*serverConn).writeFrame
     0.03s  0.24% 55.40%      0.10s  0.79%  internal/sync.(*Mutex).Unlock (inline)
     0.03s  0.24% 55.63%      0.64s  5.08%  io.ReadAtLeast
     0.03s  0.24% 55.87%      5.50s 43.65%  pkt.systems/lockd/internal/httpapi.(*Handler).wrap.func1
     0.03s  0.24% 56.11%      0.14s  1.11%  pkt.systems/lockd/internal/jsonutil.CompactWriter
     0.03s  0.24% 56.35%      0.07s  0.56%  runtime.(*mheap).initSpan
     0.03s  0.24% 56.59%      0.15s  1.19%  runtime.(*stkframe).getStackMap
     0.03s  0.24% 56.83%      0.07s  0.56%  runtime.casgstatus
     0.03s  0.24% 57.06%      1.36s 10.79%  runtime.gcDrain
     0.03s  0.24% 57.30%      0.16s  1.27%  runtime.growslice
     0.03s  0.24% 57.54%      1.09s  8.65%  runtime.mallocgc
     0.03s  0.24% 57.78%      0.34s  2.70%  runtime.mallocgcSmallNoscan
     0.02s  0.16% 57.94%      1.08s  8.57%  bufio.(*Writer).Flush
     0.02s  0.16% 58.10%      0.13s  1.03%  context.(*valueCtx).Value
     0.02s  0.16% 58.25%      0.07s  0.56%  crypto/internal/fips140/sha256.(*Digest).Write
     0.02s  0.16% 58.41%      0.20s  1.59%  encoding/json.(*decodeState).object
     0.02s  0.16% 58.57%      0.11s  0.87%  golang.org/x/net/http2.(*Framer).readMetaFrame
     0.02s  0.16% 58.73%      6.11s 48.49%  golang.org/x/net/http2.(*serverConn).runHandler
     0.02s  0.16% 58.89%      0.11s  0.87%  golang.org/x/net/http2.(*serverConn).scheduleFrameWrite
     0.02s  0.16% 59.05%      0.32s  2.54%  net.(*conn).Read
     0.02s  0.16% 59.21%      0.13s  1.03%  pkt.systems/lockd/internal/httpapi.(*Handler).writeJSON
     0.02s  0.16% 59.37%      0.19s  1.51%  pkt.systems/lockd/internal/httpapi.clientIdentityFromRequest
     0.02s  0.16% 59.52%      0.32s  2.54%  pkt.systems/lockd/internal/qrf.(*Controller).Wait
     0.02s  0.16% 59.68%      0.30s  2.38%  pkt.systems/lockd/internal/qrf.(*qrfMetrics).recordDecision
     0.02s  0.16% 59.84%      0.43s  3.41%  pkt.systems/lockd/internal/storage/disk.(*Store).ReadState
     0.02s  0.16% 60.00%      0.84s  6.67%  pkt.systems/lockd/internal/storage/disk.(*Store).StoreMeta
     0.02s  0.16% 60.16%      0.21s  1.67%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).appendInline
     0.02s  0.16% 60.32%      0.08s  0.63%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).queuePendingLocked
     0.02s  0.16% 60.48%      0.30s  2.38%  pkt.systems/pslog.(*jsonPlainLogger).rebuildBasePayload
     0.02s  0.16% 60.63%      0.28s  2.22%  pkt.systems/pslog.encodeBaseJSONPlain
     0.02s  0.16% 60.79%      0.28s  2.22%  runtime.(*mcache).refill
     0.02s  0.16% 60.95%      0.24s  1.90%  runtime.futexsleep
     0.02s  0.16% 61.11%      0.48s  3.81%  runtime.greyobject
     0.02s  0.16% 61.27%      0.09s  0.71%  runtime.mapaccess2_faststr
     0.02s  0.16% 61.43%      1.35s 10.71%  runtime.park_m
     0.02s  0.16% 61.59%      0.31s  2.46%  runtime.wakep
     0.02s  0.16% 61.75%      0.08s  0.63%  time.Now
     0.01s 0.079% 61.83%      0.08s  0.63%  crypto/hmac.New
     0.01s 0.079% 61.90%      0.08s  0.63%  crypto/internal/fips140/aes/gcm.open
     0.01s 0.079% 61.98%      0.07s  0.56%  encoding/json.(*decodeState).objectInterface
     0.01s 0.079% 62.06%      0.27s  2.14%  go.opentelemetry.io/otel/attribute.NewSetWithFiltered
     0.01s 0.079% 62.14%      0.43s  3.41%  golang.org/x/net/http2.(*Framer).ReadFrameHeader
     0.01s 0.079% 62.22%      0.70s  5.56%  golang.org/x/net/http2.(*bufferedWriterTimeoutWriter).Write
     0.01s 0.079% 62.30%      0.37s  2.94%  golang.org/x/net/http2.(*responseWriter).FlushError
     0.01s 0.079% 62.38%      0.38s  3.02%  golang.org/x/net/http2.(*responseWriter).handlerDone
     0.01s 0.079% 62.46%      0.19s  1.51%  golang.org/x/net/http2.(*serverConn).newWriterAndRequest
     0.01s 0.079% 62.54%      0.33s  2.62%  golang.org/x/net/http2.(*serverConn).processHeaders
     0.01s 0.079% 62.62%      0.65s  5.16%  golang.org/x/net/http2.(*serverConn).readFrames
     0.01s 0.079% 62.70%      0.11s  0.87%  golang.org/x/net/http2.(*serverConn).writeDataFromHandler
     0.01s 0.079% 62.78%      0.11s  0.87%  golang.org/x/net/http2.(*serverConn).writeHeaders
     0.01s 0.079% 62.86%      0.33s  2.62%  internal/poll.(*FD).Read
     0.01s 0.079% 62.94%      0.26s  2.06%  internal/sync.(*Mutex).lockSlow
     0.01s 0.079% 63.02%      0.07s  0.56%  internal/sync.(*Mutex).unlockSlow
     0.01s 0.079% 63.10%      0.15s  1.19%  io.(*LimitedReader).Read
     0.01s 0.079% 63.17%      0.13s  1.03%  io.(*SectionReader).Read
     0.01s 0.079% 63.25%      0.30s  2.38%  net.(*netFD).Read
     0.01s 0.079% 63.33%      0.56s  4.44%  net.(*netFD).Write
     0.01s 0.079% 63.41%      0.13s  1.03%  net/http.(*ServeMux).findHandler
     0.01s 0.079% 63.49%      5.65s 44.84%  net/http.initALPNRequest.ServeHTTP
     0.01s 0.079% 63.57%      5.64s 44.76%  net/http.serverHandler.ServeHTTP
     0.01s 0.079% 63.65%      0.08s  0.63%  os.(*File).readdir
     0.01s 0.079% 63.73%      0.14s  1.11%  os.openFileNolog
     0.01s 0.079% 63.81%      0.10s  0.79%  os.openFileNolog.func1 (inline)
     0.01s 0.079% 63.89%      0.09s  0.71%  pkt.systems/kryptograf/stream.(*writer).Close
     0.01s 0.079% 63.97%      0.08s  0.63%  pkt.systems/kryptograf/stream.releaseBuffers
     0.01s 0.079% 64.05%      2.71s 21.51%  pkt.systems/lockd/internal/core.(*Service).Release
     0.01s 0.079% 64.13%      1.70s 13.49%  pkt.systems/lockd/internal/core.(*Service).applyTxnDecisionForMeta
     0.01s 0.079% 64.21%      0.13s  1.03%  pkt.systems/lockd/internal/core.(*Service).loadMetaMaybeCached
     0.01s 0.079% 64.29%      0.36s  2.86%  pkt.systems/lockd/internal/core.(*Service).maybeThrottleLock
     0.01s 0.079% 64.37%      0.74s  5.87%  pkt.systems/lockd/internal/core.(*writePlan).Wait
     0.01s 0.079% 64.44%      0.07s  0.56%  pkt.systems/lockd/internal/core.recursiveIndex
     0.01s 0.079% 64.52%      0.94s  7.46%  pkt.systems/lockd/internal/httpapi.(*Handler).handleAcquire
     0.01s 0.079% 64.60%      0.97s  7.70%  pkt.systems/lockd/internal/httpapi.(*Handler).handleUpdate
     0.01s 0.079% 64.68%      1.12s  8.89%  pkt.systems/lockd/internal/storage.(*defaultStagingBackend).PromoteStagedState
     0.01s 0.079% 64.76%      0.96s  7.62%  pkt.systems/lockd/internal/storage/disk.(*Store).WriteState
     0.01s 0.079% 64.84%      0.71s  5.63%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).appendLoop
     0.01s 0.079% 64.92%      0.07s  0.56%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).appendRecord.func2
     0.01s 0.079% 65.00%      0.10s  0.79%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).applyPendingLocked
     0.01s 0.079% 65.08%      0.69s  5.48%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).flushAppends
     0.01s 0.079% 65.16%      0.44s  3.49%  pkt.systems/lockd/internal/storage/retry.(*backend).ReadState.func1
     0.01s 0.079% 65.24%      0.85s  6.75%  pkt.systems/lockd/internal/storage/retry.(*backend).StoreMeta
