File: lockd
Build ID: f69983d50bc7ff2c5876752c21abc6eccb11141d
Type: cpu
Time: 2026-01-28 08:24:15 CET
Duration: 5.12s, Total samples = 6.24s (121.92%)
Showing nodes accounting for 4.12s, 66.03% of 6.24s total
Dropped 547 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
     0.95s 15.22% 15.22%      0.95s 15.22%  internal/runtime/syscall.Syscall6
     0.30s  4.81% 20.03%      0.30s  4.81%  runtime.futex
     0.15s  2.40% 22.44%      0.16s  2.56%  runtime.(*gcBits).bitp (inline)
     0.15s  2.40% 24.84%      0.15s  2.40%  runtime.(*mspan).base (inline)
     0.14s  2.24% 27.08%      0.14s  2.24%  runtime.memmove
     0.14s  2.24% 29.33%      0.67s 10.74%  runtime.scanobject
     0.11s  1.76% 31.09%      0.12s  1.92%  runtime.findObject
     0.10s  1.60% 32.69%      0.28s  4.49%  runtime.selectgo
     0.08s  1.28% 33.97%      0.08s  1.28%  runtime.nextFreeFast (inline)
     0.08s  1.28% 35.26%      0.08s  1.28%  runtime.procyield
     0.08s  1.28% 36.54%      0.08s  1.28%  runtime.usleep
     0.07s  1.12% 37.66%      0.07s  1.12%  context.value
     0.07s  1.12% 38.78%      0.24s  3.85%  runtime.stealWork
     0.07s  1.12% 39.90%      0.07s  1.12%  time.runtimeNow
     0.06s  0.96% 40.87%      0.06s  0.96%  runtime.(*mspan).writeHeapBitsSmall
     0.04s  0.64% 41.51%      0.04s  0.64%  crypto/internal/fips140/sha256.blockSHANI
     0.04s  0.64% 42.15%      0.04s  0.64%  runtime.(*gcBitsArena).tryAlloc (inline)
     0.04s  0.64% 42.79%      0.04s  0.64%  runtime.(*guintptr).cas (inline)
     0.04s  0.64% 43.43%      0.04s  0.64%  runtime.(*spanSet).push
     0.04s  0.64% 44.07%      0.08s  1.28%  runtime.(*unwinder).resolveInternal
     0.04s  0.64% 44.71%      0.04s  0.64%  runtime.duffzero
     0.04s  0.64% 45.35%      0.06s  0.96%  runtime.lock2
     0.04s  0.64% 45.99%      0.04s  0.64%  runtime.memclrNoHeapPointers
     0.04s  0.64% 46.63%      0.04s  0.64%  runtime.nanotime (inline)
     0.04s  0.64% 47.28%      0.08s  1.28%  runtime.pcvalue
     0.04s  0.64% 47.92%      0.12s  1.92%  runtime.runqgrab
     0.04s  0.64% 48.56%      0.04s  0.64%  runtime.unlock2
     0.03s  0.48% 49.04%      0.05s   0.8%  golang.org/x/net/http2/hpack.huffmanDecode
     0.03s  0.48% 49.52%      0.14s  2.24%  runtime.chansend
     0.03s  0.48% 50.00%      0.69s 11.06%  runtime.findRunnable
     0.03s  0.48% 50.48%      0.27s  4.33%  runtime.mallocgcSmallScanNoHeader
     0.03s  0.48% 50.96%      0.16s  2.56%  runtime.newobject
     0.03s  0.48% 51.44%      0.05s   0.8%  runtime.step
     0.03s  0.48% 51.92%      0.04s  0.64%  sync.(*Pool).pin
     0.02s  0.32% 52.24%      0.06s  0.96%  crypto/internal/fips140/sha256.(*Digest).Write
     0.02s  0.32% 52.56%      0.50s  8.01%  golang.org/x/net/http2.(*serverConn).serve
     0.02s  0.32% 52.88%      0.21s  3.37%  internal/poll.(*FD).Pwrite
     0.02s  0.32% 53.21%      0.09s  1.44%  internal/sync.(*Mutex).Lock (inline)
     0.02s  0.32% 53.53%      0.06s  0.96%  io.(*LimitedReader).Read
     0.02s  0.32% 53.85%      0.41s  6.57%  pkt.systems/lockd/internal/httpapi.(*Handler).handleAcquire
     0.02s  0.32% 54.17%      2.58s 41.35%  pkt.systems/lockd/internal/httpapi.(*Handler).wrap.func1
     0.02s  0.32% 54.49%      0.04s  0.64%  pkt.systems/lockd/internal/search/index.(*Writer).Insert
     0.02s  0.32% 54.81%      0.35s  5.61%  pkt.systems/lockd/internal/storage/disk.(*Store).StoreMeta
     0.02s  0.32% 55.13%      0.39s  6.25%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).appendRecord
     0.02s  0.32% 55.45%      0.22s  3.53%  pkt.systems/pslog.encodeBaseJSONPlain
     0.02s  0.32% 55.77%      0.05s   0.8%  pkt.systems/pslog.writePTLogValue
     0.02s  0.32% 56.09%      0.06s  0.96%  runtime.(*stkframe).getStackMap
     0.02s  0.32% 56.41%      0.32s  5.13%  runtime.greyobject
     0.02s  0.32% 56.73%      0.04s  0.64%  runtime.isSystemGoroutine
     0.02s  0.32% 57.05%      0.14s  2.24%  runtime.mallocgcSmallNoscan
     0.02s  0.32% 57.37%      0.15s  2.40%  runtime.notewakeup
     0.02s  0.32% 57.69%      0.06s  0.96%  runtime.runqput
     0.02s  0.32% 58.01%      0.81s 12.98%  runtime.schedule
     0.02s  0.32% 58.33%      0.05s   0.8%  runtime.sellock
     0.02s  0.32% 58.65%      0.06s  0.96%  sync.(*Pool).Get
     0.01s  0.16% 58.81%      0.06s  0.96%  context.(*valueCtx).Value
     0.01s  0.16% 58.97%      0.17s  2.72%  crypto/tls.(*Conn).readRecordOrCCS
     0.01s  0.16% 59.13%      0.35s  5.61%  crypto/tls.(*Conn).writeRecordLocked
     0.01s  0.16% 59.29%      0.09s  1.44%  crypto/x509/pkix.Name.ToRDNSequence
     0.01s  0.16% 59.46%      0.09s  1.44%  encoding/json.(*decodeState).object
